금융회사명,상품명,가입방법,만기이자,우대조건,가입대상,금리유형,저축기간(개월),기본금리(%),최고우대금리(%)
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,12,2.8,2.8
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,24,2.3,2.3
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,36,2.1,2.1
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,1,2.1,2.1
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,3,2.1,2.1
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,6,2.5,2.5
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,6,2.6,2.6
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,12,3.1,3.1
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,24,2.5,2.5
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,36,2.5,2.5
CK저축은행,"정기예금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,1,2.1,2.1
CK저축은행,"정기예금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,3,2.1,2.1
CK저축은행,"정기예금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,6,2.5,2.5
CK저축은행,"정기예금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,12,3.1,3.1
CK저축은행,"정기예금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,12,2.96,2.96
CK저축은행,"정기예금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,24,2.5,2.5
CK저축은행,"정기예금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,36,2.5,2.5
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,1,2.1,2.1
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,1,1.2,1.2
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,1,1.5,1.5
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,3,2.1,2.1
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,3,2.5,2.5
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,6,2.5,2.5
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,6,3.0,3.0
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,12,3.1,3.1
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,12,3.2,3.3
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,12,3.0,3.0
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,24,2.5,2.5
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,24,3.0,3.0
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,24,2.3,2.3
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,36,2.5,2.5
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,36,3.0,3.0
CK저축은행,정기예금(춘천본점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,36,2.3,2.3
DH저축은행,정기예금,영업점,"*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,1,2.0,2.0
DH저축은행,정기예금,영업점,"*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,3,2.4,2.4
DH저축은행,정기예금,영업점,"*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,6,2.5,2.5
DH저축은행,정기예금,영업점,"*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,12,3.1,3.1
DH저축은행,정기예금,영업점,"*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,24,2.8,2.8
DH저축은행,정기예금(비대면),"인터넷,스마트폰","*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,1,2.0,2.0
DH저축은행,정기예금(비대면),"인터넷,스마트폰","*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,3,2.4,2.4
DH저축은행,정기예금(비대면),"인터넷,스마트폰","*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,6,2.5,2.5
DH저축은행,정기예금(비대면),"인터넷,스마트폰","*1개월이하 : 약정이율 범위 내 현행이율
*1개월초과: 보통예금 이율",없음,제한없음,단리,12,3.1,3.1
HB저축은행,6개월 회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.5,2.5
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,1,1.2,1.2
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,3,1.3,1.3
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.5,2.5
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.6,2.6
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,3.0,3.0
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,2.9,2.9
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,3.0,3.0
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,24,2.6,2.6
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,36,2.6,2.6
HB저축은행,e-정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.5,2.5
HB저축은행,e-정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,3.2,3.2
HB저축은행,e-정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,24,3.0,3.0
HB저축은행,e-정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,36,2.8,2.8
HB저축은행,e-회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,1,1.5,1.5
HB저축은행,e-회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,3,2.0,2.0
HB저축은행,e-회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.2,2.2
HB저축은행,e-회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,2.8,2.8
HB저축은행,e-회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,3.0,3.0
HB저축은행,e-회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,24,2.9,2.9
HB저축은행,e-회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,36,2.9,2.9
HB저축은행,스마트 6개월 회전정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.3,2.3
HB저축은행,스마트 6개월 회전정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.5,2.5
HB저축은행,스마트 6개월 회전정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,3.0,3.0
HB저축은행,스마트정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.5,2.5
HB저축은행,스마트정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,3.2,3.2
HB저축은행,스마트정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,24,3.0,3.0
HB저축은행,스마트정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,36,2.8,2.8
HB저축은행,스마트회전정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,3.0,3.0
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,1,1.0,1.0
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,3,1.5,1.5
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.5,2.5
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,1.9,1.9
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,3.2,3.2
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,2.7,2.7
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,24,3.0,3.0
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,24,1.0,1.0
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,36,2.8,2.8
HB저축은행,회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,1,1.4,1.4
HB저축은행,회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,3,1.9,1.9
HB저축은행,회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,6,2.2,2.2
HB저축은행,회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,2.85,2.85
HB저축은행,회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,12,3.0,3.0
HB저축은행,회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,24,2.8,2.8
HB저축은행,회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,제한없음,단리,36,2.8,2.8
IBK저축은행,IBKSB e-회전정기예금(변동금리),"인터넷,스마트폰","* 만기경과 1개월 이내 : 약정금리와 현행고시 금리중 낮은이율
* 만기경과 1개월 초과 : 보통예금 이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,12,2.75,2.75
IBK저축은행,IBKSB 회전정기예금(변동금리),영업점,"* 만기경과 1개월 이내 : 약정금리와 현행고시 금리중 낮은이율
* 만기경과 1개월 초과 : 보통예금 이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,12,2.75,2.75
IBK저축은행,IBKSB 회전정기예금(변동금리),영업점,"* 만기경과 1개월 이내 : 약정금리와 현행고시 금리중 낮은이율
* 만기경과 1개월 초과 : 보통예금 이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,12,3.05,3.05
IBK저축은행,이어드림 회전정기예금(변동금리),영업점,"* 만기경과 1개월 이내 : 약정금리와 현행고시 금리중 낮은이율
* 만기경과 1개월 초과 : 보통예금 이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,12,2.75,2.75
IBK저축은행,참기특한정기예금,영업점,"-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,1,1.8,1.8
IBK저축은행,참기특한정기예금,영업점,"-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,3,2.0,2.0
IBK저축은행,참기특한정기예금,영업점,"-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,6,2.4,2.4
IBK저축은행,참기특한정기예금,영업점,"-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,12,2.65,2.65
IBK저축은행,참기특한정기예금,영업점,"-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,24,2.2,2.2
IBK저축은행,참기특한정기예금,영업점,"-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,36,2.1,2.1
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,1,1.8,1.8
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,3,2.0,2.0
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,6,2.4,2.4
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,12,2.65,2.65
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,12,2.9,2.9
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,24,2.2,2.2
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,24,2.9,2.9
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,36,2.1,2.1
IBK저축은행,참기특한정기예금(비대면),"인터넷,스마트폰","-만기후 1개월 이내:약정금리와 현행고시 금리중 낮은 이율
-1개월미만 해지 및 만기경과 1개월 초과 : 보통예금이율",없음,"제한없음 (단,비거주 외국인 제외)",단리,36,2.9,2.9
JT저축은행,e-정기예금,"인터넷,스마트폰","-1개월 이내 : 예치시점 약정금리
-1개월 초과 : 0.1%",없음,제한없음,단리,1,1.6,1.6
JT저축은행,e-정기예금,"인터넷,스마트폰","-1개월 이내 : 예치시점 약정금리
-1개월 초과 : 0.1%",없음,제한없음,단리,3,1.6,1.6
JT저축은행,e-정기예금,"인터넷,스마트폰","-1개월 이내 : 예치시점 약정금리
-1개월 초과 : 0.1%",없음,제한없음,단리,6,1.95,1.95
JT저축은행,e-정기예금,"인터넷,스마트폰","-1개월 이내 : 예치시점 약정금리
-1개월 초과 : 0.1%",없음,제한없음,단리,12,3.2,3.2
JT저축은행,e-정기예금,"인터넷,스마트폰","-1개월 이내 : 예치시점 약정금리
-1개월 초과 : 0.1%",없음,제한없음,단리,24,1.95,1.95
